year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2007,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",146,FALSE
2007,US,US Airways Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",60,FALSE
2007,B6,JetBlue Airways,HOU,"Houston, TX: William P Hobby",20,FALSE
2007,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",16,FALSE
2007,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",1322,FALSE
2007,XE,ExpressJet Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",91,FALSE
2007,YV,Mesa Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",261,FALSE
2007,OO,SkyWest Airlines Inc.,IDA,"Idaho Falls, ID: Idaho Falls Regional",131,FALSE
2007,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",8,FALSE
2007,CO,Continental Air Lines Inc.,IND,"Indianapolis, IN: Indianapolis International",132,FALSE
2007,XE,ExpressJet Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",81,FALSE
2007,NW,Northwest Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",226,FALSE
2007,9E,Pinnacle Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",103,FALSE
2007,WN,Southwest Airlines Co.,IND,"Indianapolis, IN: Indianapolis International",270,FALSE
2007,US,US Airways Inc.,IND,"Indianapolis, IN: Indianapolis International",151,FALSE
2007,EV,Atlantic Southeast Airlines,ISP,"Islip, NY: Long Island MacArthur",39,FALSE
2007,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",392,FALSE
2007,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",21,FALSE
2007,OO,SkyWest Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",15,FALSE
2007,XE,ExpressJet Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",62,FALSE
2007,WN,Southwest Airlines Co.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",93,FALSE
2007,MQ,American Eagle Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",11,FALSE
2007,OH,Comair Inc.,JAX,"Jacksonville, FL: Jacksonville International",178,FALSE
2007,CO,Continental Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",79,FALSE
2007,XE,ExpressJet Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",49,FALSE
2007,B6,JetBlue Airways,JAX,"Jacksonville, FL: Jacksonville International",8,FALSE
2007,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",168,FALSE
2007,US,US Airways Inc.,JAX,"Jacksonville, FL: Jacksonville International",112,FALSE
2007,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",279,FALSE
2007,AQ,Aloha Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",242,FALSE
2007,HA,Hawaiian Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",58,FALSE
2007,YV,Mesa Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",26,FALSE
2007,NW,Northwest Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",13,FALSE
2007,US,US Airways Inc.,OGG,"Kahului, HI: Kahului Airport",48,FALSE
2007,OO,SkyWest Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",20,FALSE
2007,OO,SkyWest Airlines Inc.,FCA,"Kalispell, MT: Glacier Park International",92,FALSE
2007,CO,Continental Air Lines Inc.,MCI,"Kansas City, MO: Kansas City International",175,FALSE
